Label,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,eigencentrality
郭靖,49,3864,1,1,1,19.614972,0.02678,1,1
黄蓉,48,2878,2,0.98,0.989796,17.033965,0.026229,1,0.989749
欧阳锋,42,1419,2,0.875,0.928571,8.814516,0.023133,0,0.90384
洪七公,37,1261,2,0.803279,0.877551,4.210482,0.020637,0,0.818461
黄药师,43,1299,2,0.890909,0.938776,8.572662,0.023582,0,0.925221
武功,49,1428,1,1,1,19.614972,0.02678,0,1
周伯通,36,942,2,0.790323,0.867347,2.803007,0.020069,0,0.813622
丘处机,48,838,2,0.98,0.989796,17.289663,0.026235,0,0.989265
欧阳克,42,699,2,0.875,0.928571,8.258981,0.023111,0,0.903776
梅超风,42,627,2,0.875,0.928571,8.192793,0.023115,2,0.906447
柯镇恶,41,591,2,0.859649,0.918367,9.510779,0.022714,2,0.869334
裘千仞,41,522,2,0.859649,0.918367,8.74969,0.022683,1,0.879238
杨康,48,595,2,0.98,0.989796,17.033965,0.026229,1,0.989749
铁木真,18,186,2,0.6125,0.683673,0.889018,0.011678,1,0.387202
成吉思汗,24,229,2,0.662162,0.744898,2.895818,0.014603,1,0.512698
完颜洪烈,41,498,2,0.859649,0.918367,10.495239,0.022769,1,0.872058
朱聪,41,524,2,0.859649,0.918367,11.079553,0.022824,2,0.858436
穆念慈,38,403,2,0.816667,0.887755,7.412746,0.021254,3,0.81808
完颜康,29,298,2,0.710145,0.795918,2.8136,0.016851,3,0.647793
蒙古,44,377,2,0.907407,0.94898,12.586575,0.024248,1,0.919467
陆冠英,34,332,2,0.765625,0.846939,5.195845,0.019273,4,0.744349
彭连虎,40,482,2,0.844828,0.908163,7.078428,0.022151,4,0.870149
拖雷,31,306,2,0.731343,0.816327,4.478814,0.017942,1,0.665038
杨铁心,27,185,2,0.690141,0.77551,3.158016,0.015989,3,0.584083
梁子翁,30,335,2,0.720588,0.806122,1.64363,0.017205,4,0.683928
江南,47,456,2,0.960784,0.979592,17.365309,0.025803,2,0.964422
王处一,36,330,2,0.790323,0.867347,4.24747,0.02014,0,0.7977
桃花岛,40,438,2,0.844828,0.908163,5.897387,0.022077,0,0.876885
靖哥哥,37,411,2,0.803279,0.877551,5.143385,0.020651,1,0.813892
包惜弱,15,101,2,0.590361,0.653061,0,0.010085,3,0.356026
华筝,27,245,2,0.690141,0.77551,3.062408,0.015997,1,0.585135
黄蓉笑,37,324,2,0.803279,0.877551,5.732388,0.020688,1,0.807229
傻姑,32,170,2,0.742424,0.826531,3.090843,0.018221,1,0.716277
韩小莹,30,302,2,0.720588,0.806122,3.652459,0.017401,2,0.652409
韩宝驹,26,312,2,0.680556,0.765306,1.988308,0.015397,2,0.583776
丐帮,33,274,2,0.753846,0.836735,3.1886,0.018728,1,0.732896
老顽童,30,361,2,0.720588,0.806122,1.439869,0.017216,0,0.679249
侯通海,33,278,2,0.753846,0.836735,2.435897,0.018652,4,0.747195
马钰,41,370,2,0.859649,0.918367,9.537768,0.022721,0,0.874144
沙通天,40,372,2,0.844828,0.908163,7.335112,0.022161,4,0.868105
郭靖心,40,279,2,0.844828,0.908163,10.663501,0.022304,1,0.840066
明白,46,309,2,0.942308,0.969388,14.83903,0.02523,1,0.958131
黄老邪,30,299,2,0.720588,0.806122,1.6384,0.017203,0,0.687158
鲁有脚,20,158,2,0.628205,0.704082,0.717893,0.012486,1,0.461195
程瑶迦,25,201,2,0.671233,0.755102,1.199563,0.014881,4,0.563255
哲别,19,130,2,0.620253,0.693878,1.360983,0.012175,1,0.405871
尹志平,33,213,2,0.753846,0.836735,2.691161,0.018666,4,0.744101
全金发,28,258,2,0.7,0.785714,3.579571,0.016479,2,0.604014
师哥,38,274,2,0.816667,0.887755,7.187793,0.021209,0,0.825195
陆庄主,26,167,2,0.680556,0.765306,1.577175,0.015345,1,0.590239
