,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Treasury Shares Number,0.0,,,,
Ordinary Shares Number,15550061000.0,15647868000.0,15723406000.0,15842407000.0,15943425000.0
Share Issued,15550061000.0,15647868000.0,15723406000.0,15842407000.0,15943425000.0
Net Debt,81123000000.0,80872000000.0,84928000000.0,90575000000.0,96423000000.0
Total Debt,111088000000.0,109280000000.0,109615000000.0,111110000000.0,120069000000.0
Tangible Book Value,62146000000.0,60274000000.0,62158000000.0,56727000000.0,50672000000.0
Invested Capital,173234000000.0,169554000000.0,171773000000.0,167837000000.0,170741000000.0
Working Capital,-1742000000.0,-2304000000.0,-7162000000.0,-8509000000.0,-18577000000.0
Net Tangible Assets,62146000000.0,60274000000.0,62158000000.0,56727000000.0,50672000000.0
Common Stock Equity,62146000000.0,60274000000.0,62158000000.0,56727000000.0,50672000000.0
Total Capitalization,157427000000.0,158345000000.0,159199000000.0,156354000000.0,149631000000.0
Total Equity Gross Minority Interest,62146000000.0,60274000000.0,62158000000.0,56727000000.0,50672000000.0
Stockholders Equity,62146000000.0,60274000000.0,62158000000.0,56727000000.0,50672000000.0
Gains Losses Not Affecting Retained Earnings,-11452000000.0,-11801000000.0,-11746000000.0,-12912000000.0,-11109000000.0
Other Equity Adjustments,-11452000000.0,-11801000000.0,-11746000000.0,,
Retained Earnings,-214000000.0,1408000000.0,4336000000.0,3240000000.0,-3068000000.0
Capital Stock,73812000000.0,70667000000.0,69568000000.0,66399000000.0,64849000000.0
Common Stock,73812000000.0,70667000000.0,69568000000.0,66399000000.0,64849000000.0
Total Liabilities Net Minority Interest,290437000000.0,274764000000.0,270002000000.0,290020000000.0,302083000000.0
Total Non Current Liabilities Net Minority Interest,145129000000.0,149801000000.0,149927000000.0,152734000000.0,148101000000.0
Other Non Current Liabilities,49848000000.0,51730000000.0,52886000000.0,53107000000.0,49142000000.0
Tradeand Other Payables Non Current,,,,,16657000000.0
Long Term Debt And Capital Lease Obligation,95281000000.0,98071000000.0,97041000000.0,99627000000.0,98959000000.0
Long Term Debt,95281000000.0,98071000000.0,97041000000.0,99627000000.0,98959000000.0
Current Liabilities,145308000000.0,124963000000.0,120075000000.0,137286000000.0,153982000000.0
Other Current Liabilities,58829000000.0,58897000000.0,56425000000.0,59893000000.0,60845000000.0
Current Deferred Liabilities,8061000000.0,8158000000.0,8131000000.0,7992000000.0,7912000000.0
Current Deferred Revenue,8061000000.0,8158000000.0,8131000000.0,7992000000.0,7912000000.0
Current Debt And Capital Lease Obligation,15807000000.0,11209000000.0,12574000000.0,11483000000.0,21110000000.0
Current Debt,15807000000.0,11209000000.0,12574000000.0,11483000000.0,21110000000.0
Other Current Borrowings,9822000000.0,7216000000.0,10578000000.0,9740000000.0,11128000000.0
Commercial Paper,5985000000.0,3993000000.0,1996000000.0,1743000000.0,9982000000.0
Payables And Accrued Expenses,62611000000.0,46699000000.0,42945000000.0,57918000000.0,64115000000.0
Payables,62611000000.0,46699000000.0,42945000000.0,57918000000.0,64115000000.0
Accounts Payable,62611000000.0,46699000000.0,42945000000.0,57918000000.0,64115000000.0
Total Assets,352583000000.0,335038000000.0,332160000000.0,346747000000.0,352755000000.0
Total Non Current Assets,209017000000.0,212379000000.0,219247000000.0,217970000000.0,217350000000.0
Other Non Current Assets,64758000000.0,64768000000.0,65388000000.0,60924000000.0,54428000000.0
Investments And Advances,100544000000.0,104061000000.0,110461000000.0,114095000000.0,120805000000.0
Other Investments,,,,114095000000.0,120805000000.0
Investmentin Financial Assets,100544000000.0,104061000000.0,110461000000.0,,120805000000.0
Available For Sale Securities,100544000000.0,104061000000.0,110461000000.0,,120805000000.0
Net PPE,43715000000.0,43550000000.0,43398000000.0,42951000000.0,42117000000.0
Accumulated Depreciation,,-70787000000.0,-69668000000.0,-68044000000.0,-72340000000.0
Gross PPE,,114337000000.0,113066000000.0,110995000000.0,114457000000.0
Leases,,,,,11271000000.0
Machinery Furniture Equipment,,,,,81060000000.0
Land And Improvements,,,,,22126000000.0
Properties,,,,,0.0
Current Assets,143566000000.0,122659000000.0,112913000000.0,128777000000.0,135405000000.0
Other Current Assets,14695000000.0,13640000000.0,13660000000.0,16422000000.0,21223000000.0
Inventory,6331000000.0,7351000000.0,7482000000.0,6820000000.0,4946000000.0
Finished Goods,,3563000000.0,4103000000.0,4307000000.0,
Raw Materials,,3788000000.0,3379000000.0,2513000000.0,
Receivables,60985000000.0,39186000000.0,35899000000.0,54180000000.0,60932000000.0
Other Receivables,31477000000.0,19637000000.0,17963000000.0,30428000000.0,32748000000.0
Accounts Receivable,29508000000.0,19549000000.0,17936000000.0,23752000000.0,28184000000.0
Cash Cash Equivalents And Short Term Investments,61555000000.0,62482000000.0,55872000000.0,51355000000.0,48304000000.0
Other Short Term Investments,31590000000.0,34074000000.0,31185000000.0,30820000000.0,24658000000.0
Cash And Cash Equivalents,29965000000.0,28408000000.0,24687000000.0,20535000000.0,23646000000.0
Cash Equivalents,,3071000000.0,4637000000.0,2627000000.0,5100000000.0
Cash Financial,,25337000000.0,20050000000.0,17908000000.0,18546000000.0
