,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Free Cash Flow,19435000000.0,24287000000.0,25644000000.0,30218000000.0,20838000000.0
Repurchase Of Capital Stock,-21003000000.0,-17478000000.0,-19594000000.0,-19475000000.0,-24428000000.0
Repayment Of Debt,0.0,-7500000000.0,5964000000.0,-9615000000.0,-2793000000.0
Issuance Of Debt,0.0,,,,4450000000.0
Capital Expenditure,-2163000000.0,-2093000000.0,-2916000000.0,-3787000000.0,-3289000000.0
Interest Paid Supplemental Data,1213000000.0,717000000.0,1170000000.0,703000000.0,955000000.0
Income Tax Paid Supplemental Data,11659000000.0,2126000000.0,4066000000.0,828000000.0,7322000000.0
End Cash Position,30737000000.0,29898000000.0,27129000000.0,21974000000.0,24977000000.0
Beginning Cash Position,29898000000.0,27129000000.0,21974000000.0,24977000000.0,28861000000.0
Changes In Cash,839000000.0,2769000000.0,5155000000.0,-3003000000.0,-3884000000.0
Financing Cash Flow,-23153000000.0,-24048000000.0,-25724000000.0,-35563000000.0,-26794000000.0
Cash Flow From Continuing Financing Activities,-23153000000.0,-24048000000.0,-25724000000.0,-35563000000.0,-26794000000.0
Net Other Financing Charges,-385000000.0,-2438000000.0,-484000000.0,-2705000000.0,-320000000.0
Cash Dividends Paid,-3758000000.0,-3849000000.0,-3650000000.0,-3768000000.0,-3703000000.0
Common Stock Dividend Paid,-3758000000.0,-3849000000.0,-3650000000.0,-3768000000.0,-3703000000.0
Net Common Stock Issuance,-21003000000.0,-17478000000.0,-19594000000.0,-19475000000.0,-24428000000.0
Common Stock Payments,-21003000000.0,-17478000000.0,-19594000000.0,-19475000000.0,-24428000000.0
Net Issuance Payments Of Debt,1993000000.0,-283000000.0,-1996000000.0,-9615000000.0,1657000000.0
Net Short Term Debt Issuance,1993000000.0,1989000000.0,254000000.0,-8214000000.0,-1015000000.0
Short Term Debt Payments,,,,-8214000000.0,
Short Term Debt Issuance,,,,,-1015000000.0
Net Long Term Debt Issuance,0.0,-2272000000.0,-2250000000.0,-1401000000.0,2672000000.0
Long Term Debt Payments,0.0,-7500000000.0,-2250000000.0,-1401000000.0,-2793000000.0
Long Term Debt Issuance,0.0,,,,5465000000.0
Investing Cash Flow,2394000000.0,437000000.0,2319000000.0,-1445000000.0,-1217000000.0
Cash Flow From Continuing Investing Activities,2394000000.0,437000000.0,2319000000.0,-1445000000.0,-1217000000.0
Net Other Investing Changes,-584000000.0,-506000000.0,-106000000.0,-141000000.0,-597000000.0
Net Investment Purchase And Sale,5141000000.0,3036000000.0,5341000000.0,2483000000.0,2806000000.0
Sale Of Investment,13698000000.0,12795000000.0,11385000000.0,7636000000.0,9551000000.0
Purchase Of Investment,-8557000000.0,-9759000000.0,-6044000000.0,-5153000000.0,-6745000000.0
Net Business Purchase And Sale,,,,,-137000000.0
Purchase Of Business,,,,,-137000000.0
Net PPE Purchase And Sale,-2163000000.0,-2093000000.0,-2916000000.0,-3787000000.0,-3289000000.0
Purchase Of PPE,-2163000000.0,-2093000000.0,-2916000000.0,-3787000000.0,-3289000000.0
Operating Cash Flow,21598000000.0,26380000000.0,28560000000.0,34005000000.0,24127000000.0
Cash Flow From Continuing Operating Activities,21598000000.0,26380000000.0,28560000000.0,34005000000.0,24127000000.0
Change In Working Capital,-6060000000.0,749000000.0,231000000.0,-1497000000.0,-48000000.0
Change In Other Working Capital,,,,131000000.0,218000000.0
Change In Other Current Liabilities,45000000.0,1229000000.0,-2001000000.0,3758000000.0,5646000000.0
Change In Other Current Assets,-821000000.0,-771000000.0,7000000.0,-4099000000.0,-3210000000.0
Change In Payables And Accrued Expense,14901000000.0,3974000000.0,-14689000000.0,-6075000000.0,15556000000.0
Change In Payable,14901000000.0,3974000000.0,-14689000000.0,-6075000000.0,15556000000.0
Change In Account Payable,14901000000.0,3974000000.0,-14689000000.0,-6075000000.0,15556000000.0
Change In Inventory,952000000.0,-22000000.0,-741000000.0,-1807000000.0,435000000.0
Change In Receivables,-21137000000.0,-3661000000.0,17786000000.0,6595000000.0,-18693000000.0
Changes In Account Receivables,-9297000000.0,-1987000000.0,5321000000.0,4275000000.0,-6384000000.0
Other Non Cash Items,-576000000.0,81000000.0,-1415000000.0,-317000000.0,172000000.0
Stock Based Compensation,2625000000.0,2617000000.0,2686000000.0,2905000000.0,2278000000.0
Deferred Tax,,,,,-1861000000.0
Deferred Income Tax,,,,,-1861000000.0
Depreciation Amortization Depletion,2653000000.0,3052000000.0,2898000000.0,2916000000.0,2865000000.0
Depreciation And Amortization,2653000000.0,3052000000.0,2898000000.0,2916000000.0,2865000000.0
Net Income From Continuing Operations,22956000000.0,19881000000.0,24160000000.0,29998000000.0,20721000000.0
